id,model_name,accuracy,precision,recall,f1Score,running_time,rank
1,Naive Bayes,0.7660571964369433,0.7661313877603447,0.7659713368795885,0.7659905377569616,0.001360177993774414,2.0
2,KNN,0.6957337083919363,0.6957987072945522,0.6957529171384964,0.6957206000756568,0.0005478858947753906,6.0
3,Logistic Regression,0.7627754336615096,0.7627741301335659,0.7627741301335659,0.7627741301335658,0.056028127670288086,3.0
4,Decision Tree,0.6413502109704642,0.6412514750287093,0.6412894912749789,0.6412590608884228,0.8948132991790771,8.0
5,Random Forest,0.7177684013127051,0.7186319815154171,0.717178472497032,0.7170828243729873,3.278693199157715,4.0
6,Gradient Boosting,0.6455696202531646,0.6547168526337876,0.6478658053893163,0.6423300092270565,1.5283782482147217,7.0
7,XGBoost,0.6999531176746366,0.7003722662931393,0.7002929634248665,0.6999477757204577,0.6051735877990723,5.0
8,AdaBoost,0.6019690576652602,0.6171370270105233,0.601192454382883,0.587611143435236,0.38013219833374023,9.0
9,SVM,0.7754336615096109,0.7751749500080023,0.7756408223666825,0.7752437665604525,5.061546087265015,1.0
